what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1351164105084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351164111804
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351164123607
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164125628
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164125674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164130314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164156148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351164165403
started,bundle,org.eclipse.mylyn.java.tasks,3.7.0.v20120319-0200,"org.eclipse.mylyn.java.tasks",1351164165489
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1351164165533
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1351164165588
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1351164165654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351164168924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351164171192
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351164175992
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164179728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164179924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164180970
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1351164181036
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164181039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164190942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164192183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164192201
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1351164192231
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1351164192235
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1351164192237
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1351164192239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164192251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164192483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164195214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164195221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164196984
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351164198236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164200339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164201432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164201447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164201499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164201762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164205242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164205248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164218032
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164235114
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164235178
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351164236523
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164237479
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164237543
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1351164239516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164243030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164244559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164246085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164269018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1351164269029
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164271381
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164271428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351164275730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164277350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164279039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351164280689
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1351164282583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351164283329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351164294415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351164294729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1351164295246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351164297224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1351164299791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1351164300881
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1351164302472
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.document",1351164304022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351164304576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164318513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351164318793
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1351164320500
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1351164320512
